"cod";"Comarca";"Origem"
"154";"Agudo";"Foro de Agudo"
"002";"Alegrete";"Foro de Alegrete"
"003";"Alvorada";"Foro de Alvorada"
"079";"Antônio Prado";"Foro de Antônio Prado"
"080";"Arroio do Meio";"Foro de Arroio do Meio"
"143";"Arroio do Tigre";"Foro de Arroio do Tigre"
"081";"Arroio Grande";"Foro de Arroio Grande"
"082";"Arvorezinha";"Foro de Arvorezinha"
"149";"Augusto Pestana";"Foro de Augusto Pestana"
"004";"Bagé";"Foro de Bagé"
"140";"Barra do Ribeiro";"Foro de Barra do Ribeiro"
"005";"Bento Gonçalves";"Foro de Bento Gonçalves"
"083";"Bom Jesus";"Foro de Bom Jesus"
"084";"Butiá";"Foro de Butiá"
"040";"Caçapava do Sul";"Foro de Caçapava do Sul"
"085";"Cacequi";"Foro de Cacequi"
"006";"Cachoeira do Sul";"Foro de Cachoeira do Sul"
"086";"Cachoeirinha";"Foro de Cachoeirinha"
"007";"Camaquã";"Foro de Camaquã"
"150";"Campina das Missões";"Foro de Campina das Missões"
"087";"Campo Bom";"Foro de Campo Bom"
"088";"Campo Novo";"Foro de Campo Novo"
"089";"Candelária";"Foro de Candelária"
"041";"Canela";"Foro de Canela"
"042";"Canguçu";"Foro de Canguçu"
"008";"Canoas";"Foro de Canoas"
"141";"Capão da Canoa";"Foro de Capão da Canoa"
"009";"Carazinho";"Foro de Carazinho"
"144";"Carlos Barbosa";"Foro de Carlos Barbosa"
"090";"Casca";"Foro de Casca"
"091";"Catuípe";"Foro de Catuípe"
"010";"Caxias do Sul";"Foro de Caxias do Sul"
"043";"Cerro Largo";"Foro de Cerro Largo"
"156";"Charqueadas";"Foro de Charqueadas"
"092";"Constantina";"Foro de Constantina"
"093";"Coronel Bicaco";"Foro de Coronel Bicaco"
"094";"Crissiumal";"Foro de Crissiumal"
"011";"Cruz Alta";"Foro de Cruz Alta"
"145";"Dois Irmãos";"Foro de Dois Irmãos"
"012";"Dom Pedrito";"Foro de Dom Pedrito"
"165";"Eldorado do Sul";"Foro de Eldorado do Sul"
"044";"Encantado";"Foro de Encantado"
"045";"Encruzilhada do Sul";"Foro de Encruzilhada do Sul"
"013";"Erechim";"Foro de Erechim"
"046";"Espumoso";"Foro de Espumoso"
"095";"Estância Velha";"Foro de Estância Velha"
"014";"Esteio";"Foro de Esteio"
"047";"Estrela";"Foro de Estrela"
"048";"Farroupilha";"Foro de Farroupilha"
"096";"Faxinal do Soturno";"Foro de Faxinal do Soturno"
"146";"Feliz";"Foro de Feliz"
"097";"Flores da Cunha";"Foro de Flores da Cunha"
"049";"Frederico Westphalen";"Foro de Frederico Westphalen"
"051";"Garibaldi";"Foro de Garibaldi"
"098";"Gaurama";"Foro de Gaurama"
"099";"General Câmara";"Foro de General Câmara"
"050";"Getúlio Vargas";"Foro de Getúlio Vargas"
"100";"Giruá";"Foro de Giruá"
"101";"Gramado";"Foro de Gramado"
"015";"Gravataí";"Foro de Gravataí"
"052";"Guaíba";"Foro de Guaíba"
"053";"Guaporé";"Foro de Guaporé"
"102";"Guarani das Missões";"Foro de Guarani das Missões"
"103";"Herval";"Foro de Herval"
"104";"Horizontina";"Foro de Horizontina"
"105";"Ibirubá";"Foro de Ibirubá"
"142";"Igrejinha";"Foro de Igrejinha"
"016";"Ijuí";"Foro de Ijuí"
"106";"Iraí";"Foro de Iraí"
"054";"Itaqui";"Foro de Itaqui"
"166";"Ivoti";"Foro de Ivoti"
"055";"Jaguarão";"Foro de Jaguarão"
"107";"Jaguari";"Foro de Jaguari"
"056";"Júlio de Castilhos";"Foro de Júlio de Castilhos"
"057";"Lagoa Vermelha";"Foro de Lagoa Vermelha"
"017";"Lajeado";"Foro de Lajeado"
"108";"Lavras do Sul";"Foro de Lavras do Sul"
"109";"Marau";"Foro de Marau"
"110";"Marcelino Ramos";"Foro de Marcelino Ramos"
